tshark_ip,raw_label
"10.11.1.3","13682128230572000042,china"
"8.8.8.8","13682128230572000042,china"
"10.11.1.3","13682128230572000042,china"
"10.11.1.3","13682128230572000042,china"
"10.11.1.3","13682128230572000042,china"
"8.8.8.8","13682128230572000042,china"
"10.11.1.3","13682128230572000042,china"
"203.104.142.66","13682128230572000042,china"
"8.8.8.8","13682128230572000042,china"
"8.8.8.8","13682128230572000042,china"
"10.11.1.3","13682128230572000042,china"
"10.11.1.3","13682128230572000042,china"
"203.104.142.66","13682128230572000042,china"
"10.11.1.3","13682128230572000042,china"
"203.205.151.50","13682128230572000042,china"
"10.11.1.3","13682128230572000042,china"
"10.11.1.3","13682128230572000042,china"
"203.205.151.21","13682128230572000042,china"
"10.11.1.3","13682128230572000042,china"
"8.8.8.8","13682128230572000042,china"
"10.11.1.3","13682128230572000042,china"
"8.8.8.8","13682128230572000042,china"
"10.11.1.3","13682128230572000042,china"
"10.11.1.3","13682128230572000042,china"
"10.11.1.3","13682128230572000042,china"
"10.11.1.3","1412575967744783406,china"
"120.27.184.74","1412575967744783406,china"
"8.8.8.8","1412575967744783406,china"
"10.11.1.3","1412575967744783406,china"
"10.11.1.3","1412575967744783406,china"
"10.11.1.3","1412575967744783406,china"
"10.11.1.3","1412575967744783406,china"
"120.27.184.74","1412575967744783406,china"
"120.27.184.74","1412575967744783406,china"
"8.8.8.8","1412575967744783406,china"
"10.11.1.3","1412575967744783406,china"
"120.55.226.239","1412575967744783406,china"
"10.11.1.3","1412575967744783406,china"
"8.8.8.8","1412575967744783406,china"
"10.11.1.3","1412575967744783406,china"
"10.11.1.3","1412575967744783406,china"
"120.55.226.239","1412575967744783406,china"
"10.11.1.3","1412575967744783406,china"
"8.8.8.8","1412575967744783406,china"
"10.11.1.3","1412575967744783406,china"
"103.17.40.162","1412575967744783406,china"
"10.11.1.3","1412575967744783406,china"
"140.205.159.56","1412575967744783406,china"
"10.11.1.3","1412575967744783406,china"
"140.205.159.56","1412575967744783406,china"
"10.11.1.3","14331764733915421474,china"
"8.8.8.8","14331764733915421474,china"
"10.11.1.3","14331764733915421474,china"
"10.11.1.3","14331764733915421474,china"
"10.11.1.3","14331764733915421474,china"
"203.205.128.130","14331764733915421474,china"
"10.11.1.3","14331764733915421474,china"
"10.11.1.3","14331764733915421474,china"
"8.8.8.8","14331764733915421474,china"
"10.11.1.3","14331764733915421474,china"
"203.205.128.130","14331764733915421474,china"
"10.11.1.3","14331764733915421474,china"
"203.205.128.130","14331764733915421474,china"
"10.11.1.3","14331764733915421474,china"
"10.11.1.3","14331764733915421474,china"
"10.11.1.3","14331764733915421474,china"
"58.83.216.76","14331764733915421474,china"
"8.8.8.8","14331764733915421474,china"
"10.11.1.3","14331764733915421474,china"
"17.173.66.101","14331764733915421474,china"
"10.11.1.3","14331764733915421474,china"
"10.11.1.3","14331764733915421474,china"
"58.83.216.76","14331764733915421474,china"
"10.11.1.3","14331764733915421474,china"
"203.205.151.50","14331764733915421474,china"
"10.11.1.3","9046560756276995098,china"
"10.11.1.3","9046560756276995098,china"
"8.8.8.8","9046560756276995098,china"
"8.8.8.8","9046560756276995098,china"
"10.11.1.3","9046560756276995098,china"
"8.8.8.8","9046560756276995098,china"
"10.11.1.3","9046560756276995098,china"
"8.8.8.8","9046560756276995098,china"
"10.11.1.3","9046560756276995098,china"
"72.246.56.89","9046560756276995098,china"
"10.11.1.3","9046560756276995098,china"
"10.11.1.3","9046560756276995098,china"
"72.246.56.89","9046560756276995098,china"
"72.246.56.89","9046560756276995098,china"
"72.246.56.89","9046560756276995098,china"
"72.246.56.89","9046560756276995098,china"
"72.246.56.89","9046560756276995098,china"
"72.246.56.89","9046560756276995098,china"
"72.246.56.89","9046560756276995098,china"
"10.11.1.3","9046560756276995098,china"
"10.11.1.3","9046560756276995098,china"
"10.11.1.3","9046560756276995098,china"
"72.246.56.89","9046560756276995098,china"
"10.11.1.3","9046560756276995098,china"
"10.11.1.3","9046560756276995098,china"
"10.11.1.3","6767846226421299933,china"
"10.11.1.3","6767846226421299933,china"
"10.11.1.3","6767846226421299933,china"
"10.11.1.3","6767846226421299933,china"
"8.8.8.8","6767846226421299933,china"
"8.8.8.8","6767846226421299933,china"
"10.11.1.3","6767846226421299933,china"
"10.11.1.3","6767846226421299933,china"
"10.11.1.3","6767846226421299933,china"
"123.59.50.185","6767846226421299933,china"
"10.11.1.3","6767846226421299933,china"
"123.59.50.132","6767846226421299933,china"
"10.11.1.3","6767846226421299933,china"
"10.11.1.3","6767846226421299933,china"
"123.59.50.185","6767846226421299933,china"
"10.11.1.3","6767846226421299933,china"
"10.11.1.3","6767846226421299933,china"
"123.59.50.132","6767846226421299933,china"
"10.11.1.3","6767846226421299933,china"
"8.8.8.8","6767846226421299933,china"
"8.8.8.8","6767846226421299933,china"
"8.8.8.8","6767846226421299933,china"
"8.8.8.8","6767846226421299933,china"
"10.11.1.3","6767846226421299933,china"
"203.205.128.130","6767846226421299933,china"
"10.11.1.3","5603476323719772437,china"
"10.11.1.3","5603476323719772437,china"
"10.11.1.3","5603476323719772437,china"
"8.8.8.8","5603476323719772437,china"
"8.8.8.8","5603476323719772437,china"
"8.8.8.8","5603476323719772437,china"
"10.11.1.3","5603476323719772437,china"
"8.8.8.8","5603476323719772437,china"
"10.11.1.3","5603476323719772437,china"
"8.8.8.8","5603476323719772437,china"
"10.11.1.3","5603476323719772437,china"
"66.198.13.97","5603476323719772437,china"
"10.11.1.3","5603476323719772437,china"
"10.11.1.3","5603476323719772437,china"
"66.198.13.97","5603476323719772437,china"
"66.198.13.97","5603476323719772437,china"
"66.198.13.97","5603476323719772437,china"
"66.198.13.97","5603476323719772437,china"
"66.198.13.97","5603476323719772437,china"
"66.198.13.97","5603476323719772437,china"
"66.198.13.97","5603476323719772437,china"
"10.11.1.3","5603476323719772437,china"
"66.198.13.97","5603476323719772437,china"
"10.11.1.3","5603476323719772437,china"
"10.11.1.3","5603476323719772437,china"
"10.11.1.3","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"8.8.8.8","6006096609485252315,china"
"8.8.8.8","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"123.103.23.206","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"14.17.112.251","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"123.103.23.206","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"14.17.112.251","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"8.8.8.8","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"8.8.8.8","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"10.11.1.3","6006096609485252315,china"
"10.11.1.3","12913039996142321725,china"
"10.11.1.3","12913039996142321725,china"
"10.11.1.3","12913039996142321725,china"
"10.11.1.3","12913039996142321725,china"
"10.11.1.3","12913039996142321725,china"
"10.11.1.3","12913039996142321725,china"
"8.8.8.8","12913039996142321725,china"
"8.8.8.8","12913039996142321725,china"
"8.8.8.8","12913039996142321725,china"
"8.8.8.8","12913039996142321725,china"
"10.11.1.3","12913039996142321725,china"
"17.42.252.8","12913039996142321725,china"
"8.8.8.8","12913039996142321725,china"
"8.8.8.8","12913039996142321725,china"
"10.11.1.3","12913039996142321725,china"
"38.83.107.76","12913039996142321725,china"
"10.11.1.3","12913039996142321725,china"
"38.83.107.76","12913039996142321725,china"
"10.11.1.3","12913039996142321725,china"
"10.11.1.3","12913039996142321725,china"
"17.42.252.8","12913039996142321725,china"
"10.11.1.3","12913039996142321725,china"
"38.83.107.76","12913039996142321725,china"
"10.11.1.3","12913039996142321725,china"
"36.110.220.15","12913039996142321725,china"
"10.11.1.3","11262997362990361398,china"
"103.7.30.45","11262997362990361398,china"
"8.8.8.8","11262997362990361398,china"
"10.11.1.3","11262997362990361398,china"
"10.11.1.3","11262997362990361398,china"
"103.7.30.45","11262997362990361398,china"
"10.11.1.3","11262997362990361398,china"
"203.205.158.60","11262997362990361398,china"
"10.11.1.3","11262997362990361398,china"
"10.11.1.3","11262997362990361398,china"
"203.205.158.60","11262997362990361398,china"
"103.7.30.45","11262997362990361398,china"
"103.7.30.45","11262997362990361398,china"
"10.11.1.3","11262997362990361398,china"
"10.11.1.3","11262997362990361398,china"
"10.11.1.3","11262997362990361398,china"
"103.7.30.45","11262997362990361398,china"
"10.11.1.3","11262997362990361398,china"
"203.205.158.60","11262997362990361398,china"
"203.205.158.60","11262997362990361398,china"
"10.11.1.3","11262997362990361398,china"
"10.11.1.3","11262997362990361398,china"
"10.11.1.3","11262997362990361398,china"
"203.205.158.60","11262997362990361398,china"
"203.205.158.60","11262997362990361398,china"
"10.11.1.3","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"17.42.252.10","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"17.42.252.10","14967170478799049617,china"
"8.8.8.8","14967170478799049617,china"
"8.8.8.8","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"8.8.8.8","14967170478799049617,china"
"10.11.1.3","14967170478799049617,china"
"198.11.168.49","14967170478799049617,china"
"8.8.8.8","14967170478799049617,china"
"8.8.8.8","14967170478799049617,china"
"8.8.8.8","14967170478799049617,china"
"10.11.1.3","12949034031821614779,china"
"10.11.1.3","12949034031821614779,china"
"10.11.1.3","12949034031821614779,china"
"23.220.33.212","12949034031821614779,china"
"8.8.8.8","12949034031821614779,china"
"10.11.1.3","12949034031821614779,china"
"10.11.1.3","12949034031821614779,china"
"17.173.66.102","12949034031821614779,china"
"23.220.33.212","12949034031821614779,china"
"23.220.33.212","12949034031821614779,china"
"23.220.33.212","12949034031821614779,china"
"23.220.33.212","12949034031821614779,china"
"10.11.1.3","12949034031821614779,china"
"10.11.1.3","12949034031821614779,china"
"17.173.66.102","12949034031821614779,china"
"17.173.66.102","12949034031821614779,china"
"17.173.66.102","12949034031821614779,china"
"17.173.66.102","12949034031821614779,china"
"10.11.1.3","12949034031821614779,china"
"8.8.8.8","12949034031821614779,china"
"10.11.1.3","12949034031821614779,china"
"10.11.1.3","12949034031821614779,china"
"23.220.33.212","12949034031821614779,china"
"10.11.1.3","12949034031821614779,china"
"10.11.1.3","12949034031821614779,china"
"10.11.1.3","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"8.8.8.8","16590844324131250733,china"
"8.8.8.8","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"103.235.46.39","16590844324131250733,china"
"8.8.8.8","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"103.235.46.39","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"119.75.222.132","16590844324131250733,china"
"8.8.8.8","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"103.235.47.88","16590844324131250733,china"
"8.8.8.8","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"10.11.1.3","16590844324131250733,china"
"10.11.1.3","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"8.8.8.8","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"23.21.45.34","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"23.21.45.34","12555823075852494433,china"
"23.21.45.34","12555823075852494433,china"
"23.21.45.34","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"8.8.8.8","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"23.21.45.34","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"23.21.45.34","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"23.21.45.34","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"10.11.1.3","12555823075852494433,china"
"10.11.1.3","17080555159460197573,china"
"10.11.1.3","17080555159460197573,china"
"8.8.8.8","17080555159460197573,china"
"8.8.8.8","17080555159460197573,china"
"10.11.1.3","17080555159460197573,china"
"10.11.1.3","17080555159460197573,china"
"8.8.8.8","17080555159460197573,china"
"10.11.1.3","17080555159460197573,china"
"10.11.1.3","17080555159460197573,china"
"17.42.252.10","17080555159460197573,china"
"8.8.8.8","17080555159460197573,china"
"10.11.1.3","17080555159460197573,china"
"10.11.1.3","17080555159460197573,china"
"10.11.1.3","17080555159460197573,china"
"54.183.23.247","17080555159460197573,china"
"10.11.1.3","17080555159460197573,china"
"17.42.252.10","17080555159460197573,china"
"10.11.1.3","17080555159460197573,china"
"10.11.1.3","17080555159460197573,china"
"54.183.23.247","17080555159460197573,china"
"17.42.252.10","17080555159460197573,china"
"17.42.252.10","17080555159460197573,china"
"17.42.252.10","17080555159460197573,china"
"17.42.252.10","17080555159460197573,china"
"10.11.1.3","17080555159460197573,china"
